================================================================================
=== Estadísticas descriptivas: Conjunto completo ===
================================================================================

                               count                           mean                            min                            25%                            50%                            75%                            max       std
delta_pace_40K_pace_Meta  2050.0000                         0.0495                        -0.7156                        -0.0273                         0.0503                         0.1361                         1.0564   0.1489
dist_acum_5K              2050.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000                      5000.0000   0.0000
dist_acum_10K             2050.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000                     10000.0000   0.0000
dist_acum_15K             2050.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000                     15000.0000   0.0000
dist_acum_20K             2050.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000                     20000.0000   0.0000
dist_acum_Media           2050.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000                     21000.0000   0.0000
dist_acum_25K             2050.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000                     25000.0000   0.0000
dist_acum_30K             2050.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000                     30000.0000   0.0000
dist_acum_35K             2050.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000                     35000.0000   0.0000
dist_acum_40K             2050.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000                     40000.0000   0.0000
dist_acum_Meta            2050.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000                     42195.0000   0.0000
time_acum_5K              2050.0000                      1195.8764                       882.0910                      1153.3102                      1218.5450                      1254.6485                      1359.2540  77.8378
time_acum_10K             2050.0000                      2385.2309                      1766.0870                      2303.8850                      2424.0645                      2508.6037                      2651.3600 153.6369
time_acum_15K             2050.0000                      3585.0995                      2657.8380                      3469.6388                      3643.0380                      3769.1255                      3914.6550 228.4269
time_acum_20K             2050.0000                      4775.0133                      3539.5170                      4620.7198                      4852.4275                      5022.5363                      5194.5750 303.6639
time_acum_Media           2050.0000                      5037.5995                      3734.0190                      4875.5448                      5119.0085                      5298.5617                      5500.8320 320.2377
time_acum_25K             2050.0000                      5971.1943                      4425.9750                      5780.4710                      6063.4490                      6273.9370                      6484.8090 375.2408
time_acum_30K             2050.0000                      7183.3707                      5310.3680                      6958.2810                      7298.0565                      7535.9497                      7768.9320 445.6260
time_acum_35K             2050.0000                      8407.3600                      6183.7250                      8144.6175                      8549.8195                      8815.7280                      9062.5660 514.7392
time_acum_40K             2050.0000                      9662.4509                      7057.0190                      9352.9880                      9849.8145                     10120.6415                     10447.8700 584.0377
time_acum_Meta            2050.0000                     10207.1496                      7453.9380                      9873.5410                     10405.8465                     10685.1735                     10982.5900 613.0578
pace_mean_5K              2050.0000                         4.2005                         3.6785                         3.9852                         4.1033                         4.3353                         5.6683   0.3005
pace_std_5K               2050.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000   0.0000
pace_cv_5K                2050.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000                         0.0000   0.0000
pace_mean_10K             2050.0000                         4.2124                         3.7721                         3.9863                         4.1256                         4.3408                         6.6228   0.3017
pace_std_10K              2050.0000                         0.0232                         0.0000                         0.0074                         0.0175                         0.0306                         2.9443   0.0675
pace_cv_10K               2050.0000                         0.0054                         0.0000                         0.0018                         0.0042                         0.0072                         0.4446   0.0108
pace_mean_15K             2050.0000                         4.2034                         3.8321                         3.9799                         4.1176                         4.3235                         5.7916   0.2961
pace_std_15K              2050.0000                         0.0308                         0.0004                         0.0166                         0.0258                         0.0376                         2.6761   0.0619
pace_cv_15K               2050.0000                         0.0073                         0.0001                         0.0039                         0.0062                         0.0090                         0.4621   0.0111
